COTE;SURFACE;VOLUME
137;0.12;639
137.01;0.12;666.42
137.02;0.12;693.84
137.03;0.13;721.26
137.04;0.13;748.68
137.05;0.13;776.1
137.06;0.14;803.52
137.07;0.14;830.94
137.08;0.14;858.36
137.09;0.14;885.78
137.1;0.15;913.2
137.11;0.15;940.62
137.12;0.15;968.04
137.13;0.16;995.46
137.14;0.16;1022.88
137.15;0.16;1050.3
137.16;0.17;1077.72
137.17;0.17;1105.14
137.18;0.17;1132.56
137.19;0.18;1159.98
137.2;0.18;1187.4
137.21;0.18;1214.82
137.22;0.19;1242.24
137.23;0.19;1269.66
137.24;0.19;1297.08
137.25;0.19;1324.5
137.26;0.2;1351.92
137.27;0.2;1379.34
137.28;0.2;1406.76
137.29;0.21;1434.18
137.3;0.21;1461.6
137.31;0.21;1489.02
137.32;0.22;1516.44
137.33;0.22;1543.86
137.34;0.22;1571.28
137.35;0.23;1598.7
137.36;0.23;1626.12
137.37;0.23;1653.54
137.38;0.24;1680.96
137.39;0.24;1708.38
137.4;0.24;1735.8
137.41;0.24;1763.22
137.42;0.25;1790.64
137.43;0.25;1818.06
137.44;0.25;1845.48
137.45;0.26;1872.9
137.46;0.26;1900.32
137.47;0.26;1927.74
137.48;0.27;1955.16
137.49;0.27;1982.58
137.5;0.27;2010
137.51;0.28;2037.42
137.52;0.28;2064.84
137.53;0.28;2092.26
137.54;0.29;2119.68
137.55;0.29;2147.1
137.56;0.29;2174.52
137.57;0.29;2201.94
137.58;0.3;2229.36
137.59;0.3;2256.78
137.6;0.3;2284.2
137.61;0.31;2311.62
137.62;0.31;2339.04
137.63;0.31;2366.46
137.64;0.32;2393.88
137.65;0.32;2421.3
137.66;0.32;2448.72
137.67;0.33;2476.14
137.68;0.33;2503.56
137.69;0.33;2530.98
137.7;0.34;2558.4
137.71;0.34;2585.82
137.72;0.34;2613.24
137.73;0.34;2640.66
137.74;0.35;2668.08
137.75;0.35;2695.5
137.76;0.35;2722.92
137.77;0.36;2750.34
137.78;0.36;2777.76
137.79;0.36;2805.18
137.8;0.37;2832.6
137.81;0.37;2860.02
137.82;0.37;2887.44
137.83;0.38;2914.86
137.84;0.38;2942.28
137.85;0.38;2969.7
137.86;0.39;2997.12
137.87;0.39;3024.54
137.88;0.39;3051.96
137.89;0.39;3079.38
137.9;0.4;3106.8
137.91;0.4;3134.22
137.92;0.4;3161.64
137.93;0.41;3189.06
137.94;0.41;3216.48
137.95;0.41;3243.9
137.96;0.42;3271.32
137.97;0.42;3298.74
137.98;0.42;3326.16
137.99;0.43;3353.58
138;0.43;3381
138.01;0.43;3443.57
138.02;0.44;3506.14
138.03;0.44;3568.71
138.04;0.44;3631.28
138.05;0.45;3693.85
138.06;0.45;3756.42
138.07;0.46;3818.99
138.08;0.46;3881.56
138.09;0.46;3944.13
138.1;0.47;4006.7
138.11;0.47;4069.27
138.12;0.48;4131.84
138.13;0.48;4194.41
138.14;0.48;4256.98
138.15;0.49;4319.55
138.16;0.49;4382.12
138.17;0.5;4444.69
138.18;0.5;4507.26
138.19;0.5;4569.83
138.2;0.51;4632.4
138.21;0.51;4694.97
138.22;0.51;4757.54
138.23;0.52;4820.11
138.24;0.52;4882.68
138.25;0.53;4945.25
138.26;0.53;5007.82
138.27;0.53;5070.39
138.28;0.54;5132.96
138.29;0.54;5195.53
138.3;0.55;5258.1
138.31;0.55;5320.67
138.32;0.55;5383.24
138.33;0.56;5445.81
138.34;0.56;5508.38
138.35;0.57;5570.95
138.36;0.57;5633.52
138.37;0.57;5696.09
138.38;0.58;5758.66
138.39;0.58;5821.23
138.4;0.58;5883.8
138.41;0.59;5946.37
138.42;0.59;6008.94
138.43;0.6;6071.51
138.44;0.6;6134.08
138.45;0.6;6196.65
138.46;0.61;6259.22
138.47;0.61;6321.79
138.48;0.62;6384.36
138.49;0.62;6446.93
138.5;0.62;6509.5
138.51;0.63;6572.07
138.52;0.63;6634.64
138.53;0.64;6697.21
138.54;0.64;6759.78
138.55;0.64;6822.35
138.56;0.65;6884.92
138.57;0.65;6947.49
138.58;0.65;7010.06
138.59;0.66;7072.63
138.6;0.66;7135.2
138.61;0.67;7197.77
138.62;0.67;7260.34
138.63;0.67;7322.91
138.64;0.68;7385.48
138.65;0.68;7448.05
138.66;0.69;7510.62
138.67;0.69;7573.19
138.68;0.69;7635.76
138.69;0.7;7698.33
138.7;0.7;7760.9
138.71;0.71;7823.47
138.72;0.71;7886.04
138.73;0.71;7948.61
138.74;0.72;8011.18
138.75;0.72;8073.75
138.76;0.73;8136.32
138.77;0.73;8198.89
138.78;0.73;8261.46
138.79;0.74;8324.03
138.8;0.74;8386.6
138.81;0.74;8449.17
138.82;0.75;8511.74
138.83;0.75;8574.31
138.84;0.76;8636.88
138.85;0.76;8699.45
138.86;0.76;8762.02
138.87;0.77;8824.59
138.88;0.77;8887.16
138.89;0.78;8949.73
138.9;0.78;9012.3
138.91;0.78;9074.87
138.92;0.79;9137.44
138.93;0.79;9200.01
138.94;0.8;9262.58
138.95;0.8;9325.15
138.96;0.8;9387.72
138.97;0.81;9450.29
138.98;0.81;9512.86
138.99;0.81;9575.43
139;0.82;9638
139.01;0.83;9757.04
139.02;0.83;9876.08
139.03;0.84;9995.12
139.04;0.85;10114.16
139.05;0.86;10233.2
139.06;0.86;10352.24
139.07;0.87;10471.28
139.08;0.88;10590.32
139.09;0.89;10709.36
139.1;0.89;10828.4
139.11;0.9;10947.44
139.12;0.91;11066.48
139.13;0.91;11185.52
139.14;0.92;11304.56
139.15;0.93;11423.6
139.16;0.94;11542.64
139.17;0.94;11661.68
139.18;0.95;11780.72
139.19;0.96;11899.76
139.2;0.97;12018.8
139.21;0.97;12137.84
139.22;0.98;12256.88
139.23;0.99;12375.92
139.24;1;12494.96
139.25;1;12614
139.26;1.01;12733.04
139.27;1.02;12852.08
139.28;1.02;12971.12
139.29;1.03;13090.16
139.3;1.04;13209.2
139.31;1.05;13328.24
139.32;1.05;13447.28
139.33;1.06;13566.32
139.34;1.07;13685.36
139.35;1.08;13804.4
139.36;1.08;13923.44
139.37;1.09;14042.48
139.38;1.1;14161.52
139.39;1.11;14280.56
139.4;1.11;14399.6
